start,duration
1660674600,16191
1662402179,16142
1664392234,11235
1666040466,16239
1666218389,16140
1667441597,11277
1669878319,16043
1673275697,15809
1676122557,16102
1676779066,16079
1677357718,11085
1678137961,16220
1679005611,15993
1680486544,11172
1680646751,16327
1681866480,11123
1685240775,15965
1685634940,11164
1686258960,16330
1687973594,11081
1688371546,16112
1688726640,15890
1691435756,11009
1691647761,16218
1691962702,11138
1693734790,16002
1694802779,15119
1694824240,15910
1695021562,11175
1696321283,15973
1696429812,15629
1697626701,11236
1698819239,15657
1700128492,16175
1700891313,16120
1701375328,11128
1701992061,16204
1702125439,11140
1702260349,15898
1702392995,11221
1703892001,15938
1706250191,15941
1707407940,16307
1708224098,16075
1708405480,11089
1710528936,16252
1710988728,16133
1712226291,11142
1713744608,15937
1715834599,16100
1715884793,11122
1717275482,16212
1718261970,16114
1718519783,11156
1718819983,15775
1719454892,11124
1720004354,16015
1720035204,11155
1720125120,15726
1721144388,11221
1722199716,15926
1722458851,11223
1722819001,16210
1723385534,11211
1725773391,16053
1726383883,16126
1726999574,11212
1729357511,15990
1730819847,15953
1732905733,15858
1734794984,18462
1736369713,16013
1738820120,15896
1741914449,16137
1742284388,11205
1742848595,15962
1743233448,11107
1743458728,16141
1744688717,11127
1746602573,16041
1747747071,11192
1749026554,16025
1750819553,15699
1751441593,16135
1755994242,11161
1756948141,16005
1758722339,16092
1760005719,11169
1762450387,15955
1762626762,11020
1762820419,15945
1763965351,11199
1766156635,16219
1766640719,16329
1768013009,11247
1769286515,16042
1770818532,15907
1771129581,11197
1773395298,15843
1774819219,15702
1776040015,11197
1778405132,15977
1778607379,15897
1780007384,11186
1780904298,15924
1781516417,16073
1782138874,11253
1782820650,16148
1784544026,16069
1786771703,15973
1786823829,16014
1788003592,11229
1790043642,16007
1790543300,16167
1791989741,11207
1792143573,16147
1792271307,11179
1793973448,16035
1794820672,15780
